Commande	Oeil	Type	Matiere	Diametre	Base	Sphere	Mesure.Sphere	Cylindre	Mesure.cylindre	Axe	Mesure axe	Addition	Mesure addition	Epais. centre	MesureEpais. centre
7636190	G	OXL	BL	80	4	-1	-1.06	1	1.02	95	96	1.5	1.56	22	22.6
7637181	D	OXL	BL	80	4	-2.5	-2.41		0.03		165	3	3.1	22	23.6
7637181	G	OXL	BL	80	4	0	0.03	0.75	0.7	180	179	2.5	2.61	33	33.5
7641163	D	OXL	BL	80	4	-1	-0.91	1.25	1.18	10	10	2.5	2.52	24	26
7641163	G	OXL	BL	80	4	-1		0.5		165		2.5		23	0
7636069	D	OXL	BL	80	4	-2.25	-2.25	0.75	0.74	155	152	1	0.91	22	22.4
7636069	G	OXL	BL	80	4	-0.5	-0.56	0.5	0.52	60	60	1	0.9	23	23.7
7639043	D	OXL	BL	80	4	0.5	0.54	0.75	0.67	90	88	1	1	27	27.5
7639043	G	OXL	BL	80	4	-0.5	-0.54	1	1.01	95	96	1	0.97	23	23
7639191	D	OXL	BL	80	4	-1.5	-1.46	0.75	0.78	50	49	3	3.12	23	23.7
7639191	G	OXL	BL	80	4	-1.5	-1.4	1	0.96	160	160	3	3.11	23	23.6
7639756	D	OXL	BL	80	4	0.5	0.43		0.08		172	2.25	2.3	25	24.9
7639756	G	OXL	BL	80	4	0.5	0.45		0.07		150	2.25	2.23	25	24.5
7640536	D	OXL	BL	80	4	0	-0.05	0.75	0.73	90	91	2.5	2.51	23	23.3
7640536	G	OXL	BL	80	4	0.25	0.27	0.75	0.81	60	63	2.5	2.57	27	27.6
7641160	D	OXL	BL	80	4	-1.25	-1.25	0.25	0.16	25	21	1.25	1.25	22	22.1
7641160	G	OXL	BL	80	4	-4	-4	1.5	1.46	10	9	1.25	1.15	22	22.1
7635972	D	OXL	BL	80	4	-0.5	-0.49	1	0.99	105	103	0.75	0.75	23	23.9
7635972	G	OXL	BL	80	4	-0.5	-0.57	0.75	0.79	90	90	0.75	0.73	22	23.2
7635990	D	OXL	BL	80	4	0.5	0.46		0.1		0	1.75	1.74	25	24.9
7635990	G	OXL	BL	80	4	0.5	0.58		0.11		172	1.75	1.58	25	25.4
7636767	D	OXL	BL	80	4	-4	-4.01	1.75	1.71	90	89	2	2.11	22	20
7636767	G	OXL	BL	80	4	-2.75	-2.73		0.07		135	2	2.08	22	21.8
7637709	D	OXL	BL	80	4	0.75	0.81		0.06		171	3	3.13	35	37.1
7637709	G	OXL	BL	80	4	0.25	0.26	0.5	0.42	90	88	3	2.93	28	29.2
7639637	D	OXL	BL	80	4	-0.5	-0.54		0.05		9	1	0.9	22	22.8
7639637	G	OXL	BL	80	4	1.25	1.23	1	1	80	80	1	0.97	33	33.7
7640396	D	OXL	BL	80	4	0.25	0.24	0.5	0.52	60	62	3	3.1	27	28.2
7640396	G	OXL	BL	80	4	0	-0.05		0.01		150	3	3.11	24	24.6
7634917	D	OXL	BL	80	4	-1.5		1.5		110		2.5		23	0
7634917	G	OXL	BL	80	4	-1	-0.99	0.5	0.47	110	110	2.5	2.54	22	22.3
7635416	D	OXL	BL	80	4	-0.25	-0.27	0.5	0.47	180	180	3	3.06	25	25.8
7635416	G	OXL	BL	80	4	-0.5	-0.57	0.5	0.55	180	0	3	3.04	25	25.3
7636872	D	OXL	BL	80	4	0	0.11	0.25	0.23	15	13	2.75	2.85	25	26.3
7636872	G	OXL	BL	80	4	-0.25	-0.22	0.75	0.72	170	171	2.75	2.78	26	27.6
7637105	D	OXL	BL	80	4	-0.5	-0.58	0.5	0.52	90	89	1.25	1.32	22	22.7
7637105	G	OXL	BL	80	4	-0.5	-0.56	0.5	0.55	90	91	1.25	1.16	22	22.6
7637263	D	OXL	BL	80	4	0.75	0.67		0.08		163	2	2.01	26	27
7637263	G	OXL	BL	80	4	0.5	0.51	0.25	0.26	5	1	2	1.98	26	26.8
7641311	D	OXL	BL	80	4	0.5	0.51		0.09		90	2.5	2.64	26	27.3
7641311	G	OXL	BL	80	4	-0.75	-0.66	0.5	0.46	79	80	2.5	2.62	23	24.2
7628266	D	OXL	BL	80	4	0.5	0.43		0.04		178	1.5	1.48	24	25.2
7628266	G	OXL	BL	80	4	-0.25	-0.22	0.5	0.43	105	105	1.5	1.43	22	22.1
7638596	D	OXL	BL	80	4	0.5	0.43	0.25	0.3	90	93	1	0.96	23	23.2
7638596	G	OXL	BL	80	4	0.75	0.72	0.25	0.25	90	90	1	0.94	26	26.2
7639049	D	OXL	BL	80	4	-0.25	-0.26	0	0.1	180	102	2.75	2.84	22	23.7
7639049	G	OXL	BL	80	4	-0.5	-0.57	0.25	0.3	85	84	2.75	2.9	23	23.1
7640291	D	OXL	BL	80	4	-0.25	-0.3	0.25	0.23	90	95	2	2.01	23	23.2
7640291	G	OXL	BL	80	4	-0.25	-0.21	0.25	0.24	95	95	2	2.08	23	23.5
7635484	D	OXL	BL	80	4	-0.5	-0.42	0.75	0.75	60	59	2	1.99	23	24
7635484	G	OXL	BL	80	4	-0.5	-0.53	0.75	0.76	100	101	2	1.99	23	22.5
7635853	D	OXL	BL	80	4	-4	-3.97		0.05		121	1.5	1.46	22	23
7635853	G	OXL	BL	80	4	-4	-3.89		0.05		108	1.5	1.61	22	23
7636362	D	OXL	BL	80	4	0.5	0.51		0.08		9	2.25	2.23	26	26.7
7636362	G	OXL	BL	80	4	1	0.94		0.07		160	2.25	2.28	29	28.6
7638978	D	OXL	BL	80	4	0.25	0.23	0.5	0.49	100	104	1.75	1.69	23	23.6
7638978	G	OXL	BL	80	4	-0.25	-0.38	1	1.09	75	75	1.75	1.69	23	23.2
7640439	D	OXL	BL	80	4	-1.75	-1.75		0.02		3	1.25	1.2	22	22.2
7640439	G	OXL	BL	80	4	-2	-2.04		0.05		36	1.25	1.22	22	22.6
7641184	D	OXL	BL	80	4	-0.5	-0.41	0.75	0.65	90	90	3	3.01	23	23.8
7641184	G	OXL	BL	80	4	0	0.06	0.5	0.46	90	91	3	3.14	25	24.9
7634372	D	OXL	BL	80	4	-2	-1.96	1	0.93	25	25	2.75	2.89	22	22.9
7634372	G	OXL	BL	80	4	-3.25		1		155		2.75		22	0
7638373	D	OXL	BL	80	4	0	0	0.5	0.47	15	11	3	3.07	29	29.5
7638373	G	OXL	BL	80	4	0	0.1	0.25	0.28	180	3	3	3.11	26	27.1
7631020	D	OXL	BL	80	4	0.25	0.18		0.02		147	2.25	2.28	25	26.6
7631020	G	OXL	BL	80	4	0.25	0.16		0.05		68	2.25	2.2	25	25.1
7640516	D	OXL	BL	80	4	1	1.03		0.03		142	2.5	2.61	29	30
7640516	G	OXL	BL	80	4	0.5	0.53	0.25	0.26	100	103	2.5	2.61	25	25.4
7640612	D	OXL	BL	80	4	-0.5	-0.45		0.01		132	1.75	1.71	23	24.1
7640612	G	OXL	BL	80	4	-0.75	-0.81	0.25	0.29	160	158	1.75	1.73	22	22.1
7623983	D	OXL	BL	80	4	0.25	0.27	0.5	0.47	180	0	2	2.01	27	28
7630213	D	OXL	BL	80	4	0.5	0.49		0.08		114	2.5	2.48	28	29.5
7630213	G	OXL	BL	80	4	0	-0.03		0.02		4	2.5	2.53	24	25
7633310	D	OXL	BL	80	4	0.25	0.2		0.1		176	1.75	1.68	24	24.5
7633310	G	OXL	BL	80	4	0.5	0.6		0		162	1.75	1.7	25	26.6
7634515	D	OXL	BL	80	4	-0.5	-0.51	1.25	1.22	95	95	0.75	0.79	23	23.8
7634515	G	OXL	BL	80	4	-1	-1.02	1.5	1.52	90	89	0.75	0.68	23	23.7
7635144	D	OXL	BL	80	4	-0.5	-0.4		0		155	3	3.13	23	24
7635878	D	OXL	BL	80	4	-0.5	-0.47	1	1.01	170	170	2.25	2.31	26	26.9
7635878	G	OXL	BL	80	4	0	-0.04	0.75	0.76	5	4	2.25	2.31	27	27.4
7636728	D	OXL	BL	80	4	0	-0.07		0.09		2	2.25	2.26	23	23.9
7636728	G	OXL	BL	80	4	0	-0.04		0.09		162	2.25	2.27	23	24
7636875	D	OXL	BL	80	4	0.75	0.7		0.1		164	1.5	1.45	25	26.1
7636875	G	OXL	BL	80	4	1.25	1.23		0.02		18	1.5	1.49	29	31
7637577	D	OXL	BL	80	4	0.75	0.66		0.09		168	2.25	2.2	27	27.6
7637577	G	OXL	BL	80	4	0.75	0.71		0.04		7	2.25	2.28	27	28.8
7639082	D	OXL	BL	80	4	0	0	0.5	0.48	0	179	2.5	2.55	26	26.9
7640381	D	OXL	BL	80	4	-3.25	-3.22		0.01		38	2.25	2.31	22	23
7640381	G	OXL	BL	80	4	-3.5	-3.41		0.06		176	2.25	2.29	22	23.5
7640421	D	OXL	BL	80	4	-0.5	-0.54	0.75	0.78	10	10	2.5	2.54	24	24.8
7640421	G	OXL	BL	80	4	0.25	0.26	0.75	0.79	50	51	2.5	2.62	28	28.9
7640859	D	OXL	BL	80	4	0	0.03	0.5	0.49	0	176	1.75	1.79	25	26.1
7640859	G	OXL	BL	80	4	-0.5	-0.54	1	0.99	175	175	1.75	1.78	25	25.9
7635560	D	OXL	BL	80	4	-0.25	-0.29	0.25	0.3	160	157	1	0.94	23	23.6
7635560	G	OXL	BL	80	4	0	-0.09		0.05		9	1	0.96	23	23.6
7636795	D	OXL	BL	80	4	-0.75	-0.76	0.75	0.68	90	89	1.5	1.58	22	22.6
7636795	G	OXL	BL	80	4	-1.25	-1.24	1	0.98	115	115	1.5	1.48	22	22.3
7641155	D	OXL	BL	80	4	0.75	0.72		0.08		165	1	0.94	25	25.5
7641155	G	OXL	BL	80	4	1	0.97		0.01		164	1	0.93	27	27.6
7623784	D	OXL	T5.BRUN	78	4	0	0.03		0.04		98	3	3.06	25	26.4
7623784	G	OXL	T5.BRUN	78	4	-0.25	-0.29	1.5	1.54	90	92	3	2.98	28	28
7630475	D	OXL	BL	80	4	0.25	0.26	0.25	0.22	95	93	2.75	2.8	25	25.5
7630475	G	OXL	BL	80	4	-2.75	-2.74	0.75	0.79	170	169	2.75	2.81	22	21.9
7634077	D	OXL	BL	80	4	1	1	0.75	0.74	30	26	2.5	2.59	40	40.6
7634077	G	OXL	BL	80	4	-2	-1.96	1	0.96	0	179	2.5	2.55	22	22.9
7638008	D	OXL	BL	80	4	-0.25	-0.2	0.5	0.43	100	100	1.25	1.31	23	23.4
7638008	G	OXL	BL	80	4	-0.75	-0.77	1	1.02	90	91	1.25	1.19	23	23.9
7638342	D	OXL	BL	80	4	0.25	0.31	0.25	0.22	80	79	2.25	2.31	25	26.3
7638342	G	OXL	BL	80	4	0	-0.02	0.5	0.5	90	90	2.25	2.24	24	24.6
7639537	D	OXL	BL	80	4	0	-0.02	0.25	0.28	120	123	1.75	1.69	23	23.4
7639537	G	OXL	BL	80	4	0						1.75		23	0
7639593	D	OXL	BL	80	4	0	0		0.06		141	1.75	1.76	23	23.7
7639593	G	OXL	BL	80	4	0.5	0.46	0.25	0.24	15	15	1.75	1.74	25	25.1
7641083	D	OXL	BL	80	4	1	0.97	0.25	0.28	0	0	1.75	1.65	32	32.4
7641083	G	OXL	BL	80	4	0.25	0.31		0.01		167	1.75	1.73	23	24.3
7624747	D	OXL	BL	80	4	-0.25	-0.3	0.5	0.56	10	7	2.5	2.52	25	25.6
7624747	G	OXL	BL	80	4	0	0.06	0.25	0.18	105	105	2.5	2.54	23	23.8
7634651	D	OXL	BL	80	4	-3.5	-3.55	1.5	1.56	175	175	2.5	2.56	22	22.2
7634651	G	OXL	BL	80	4	-2.25	-2.29	1.5	1.52	175	175	2.5	2.48	23	23.6
7635948	D	OXL	BL	80	4	-0.75	-0.82	0.25	0.24	165	160	1.25	1.24	22	22.3
7635948	G	OXL	BL	80	4	-0.25	-0.3	0.25	0.26	105	99	1.25	1.18	23	23.9
7636624	D	OXL	BL	80	4	-0.75	-0.75	0.75	0.69	10	8	2.75	2.85	24	24.5
7636624	G	OXL	BL	80	4	-1	-1		0.06		4	2.75	2.82	22	22.7
7638231	D	OXL	BL	80	4	-3.25	-3.2		0.05		2	2.75	2.81	22	22.4
7638231	G	OXL	BL	80	4	-0.5	-0.5		0.04		7	2.75	2.87	23	24
7639411	D	OXL	BL	80	4	-1.25	-1.32		0.03		132	3.25	3.2	22	22.6
7639411	G	OXL	BL	80	4	0	-0.06		0.01		158	3.25	3.35	24	24.2
7635580	G	OXL	BL	80	4	0.75	0.7		0.04		10	3	3.06	28	28.3
7639023	G	OXL	BL	80	4	0.25	0.25	0.5	0.45	135	137	2.5	2.56	27	26.3
7634496	D	OXL	BL	80	4	0	-0.02	0.5	0.51	10	9	2	2.02	25	25.8
7634496	G	OXL	BL	80	4	-0.5	-0.54	0.5	0.54	170	174	2	2.09	23	24
7638003	D	OXL	BL	80	4	-2.5	-2.55	0.75	0.82	160	160	3	3.05	22	22.9
7638003	G	OXL	BL	80	4	-1.25	-1.16	1.25	1.21	84	84	3	3.14	23	24.8
7638083	D	OXL	BL	80	4	-1.25	-1.21	0.75	0.76	75	75	1	0.96	22	22.2
7638083	G	OXL	BL	80	4	-1	-1.01	0	0.06	180	169	1	0.93	22	21.7
7638284	D	OXL	BL	80	4	-0.5	-0.45	1	0.96	10	7	2.75	2.88	26	27.3
7638284	G	OXL	BL	80	4	-0.5	-0.55		0.03		123	2.75	2.86	23	24.5
7639662	D	OXL	BL	80	4	0.5	0.53	0.25	0.26	175	174	3	3.14	30	31.4
7639662	G	OXL	BL	80	4	0.25	0.24	0.5	0.54	10	9	3	3.12	30	30.7
7641331	D	OXL	BL	80	4	0.75	0.66		0.11		166	2.75	2.86	28	28.4
7641331	G	OXL	BL	80	4	1	0.96		0.03		12	2.75	2.72	31	32.1
7636925	D	OXL	BL	80	4	0.5	0.52		0.05		175	3	3.14	27	29.4
7636925	G	OXL	BL	80	4	1	1.03		0.07		4	3	3.11	33	34.6
7633669	D	OXL	BL	80	4	0.75	0.67		0.1		169	2.75	2.81	34	34.5
7633669	G	OXL	BL	80	4	0.25	0.27	0.5	0.44	75	70	2.75	2.86	28	28.6
7634538	D	OXL	BL	80	4	-1	-0.98		0.04		173	2	1.98	22	23.4
7634538	G	OXL	BL	80	4	-0.5	-0.53		0.01		11	2	1.96	23	23.5
7635957	D	OXL	BL	80	4	-0.25	-0.23	1	1.07	80	81	2.75	2.83	24	25.2
7635957	G	OXL	BL	80	4	-0.25	-0.22	0.75	0.74	70	70	2.75	2.63	23	24.2
7635986	D	OXL	BL	80	4	-0.25	-0.24	0.25	0.12	90	88	1.5	1.46	23	23.6
7635986	G	OXL	BL	80	4	-0.25	-0.31	0.25	0.27	90	90	1.5	1.43	23	23.9
7636528	D	OXL	BL	80	4	-1.5	-1.52	1.5	1.45	95	93	1.75	1.67	23	23.4
7636528	G	OXL	BL	80	4	-2	-2	2	2.04	75	74	1.75	1.76	24	24.7
7637798	D	OXL	BL	80	4	0.25	0.22	0.5	0.52	115	116	3	3.06	26	26.8
7637798	G	OXL	BL	80	4	0	0.05	0.5	0.52	65	65	3	3.1	25	25.9
7638020	D	OXL	BL	80	4	-1	-0.9	1.75	1.69	10	10	3	3.14	30	31.5
7638020	G	OXL	BL	80	4	-0.75	-0.65	0.75	0.7	130	127	3	3.09	22	23.1
7640402	D	OXL	BL	80	4	0	0.02	0.75	0.8	105	107	2.25	2.25	25	25.8
7640402	G	OXL	BL	80	4	0	-0.08	1	1.02	70	70	2.25	2.19	28	28.4
7640499	D	OXL	BL	80	4	-1.5	-1.55	0.25	0.3	60	60	1.75	1.7	22	22.1
7640499	G	OXL	BL	80	4	-1.25	-1.22	0.75	0.75	100	100	1.75	1.77	22	23.2
7640623	D	OXL	BL	80	4	0	0.01	0.75	0.79	10	8	3	3.08	33	33.9
7640623	G	OXL	BL	80	4	-2.25	-2.13	0.75	0.74	140	139	3	3.13	22	23.7
7641214	D	OXL	BL	80	4	0.5	0.45		0.11		176	1	0.94	24	24.6
7641214	G	OXL	BL	80	4	0.5	0.45		0.12		178	1	0.96	23	23.2
7641277	D	OXL	BL	80	4	0	-0.02		0.06		175	1.25	1.24	23	23.7
7641277	G	OXL	BL	80	4	0	-0.07		0.05		25	1.25	1.2	23	23.6
7633569	D	OXL	BL	80	4	0.75	0.81		0.01		159	2.75	2.88	34	35.5
7633569	G	OXL	BL	80	4	0.75	0.71		0.11		6	2.75	2.81	34	35.7
7641263	D	OXL	BL	80	4	-1.25	-1.3	1.25	1.24	175	173	1.5	1.42	23	23.4
7641263	G	OXL	BL	80	4	-0.75	-0.8	0.75	0.78	5	5	1.5	1.45	23	24.1
7627990	D	OXL	BL	80	4	0.75	0.69		0.04		35	1.25	1.2	24	25.3
7636904	D	OXL	BL	80	4	0	0.07	0.75	0.65	80	78	1.25	1.2	23	24.6
7636904	G	OXL	BL	80	4	0	-0.04		0.06		1	1.25	1.24	23	23.5
7625077	D	OXL	BL	80	4	-0.75	-0.76		0.08		166	1	0.93	22	23
7625077	G	OXL	BL	80	4	-0.5	-0.57		0.05		134	1	0.97	22	23.4
7626929	D	OXL	BL	80	4	0	-0.03	0.75	0.76	160	158	2.5	2.48	26	27
7626929	G	OXL	BL	80	4	0	0	0.5	0.51	30	26	2.5	2.52	25	26.6
7633734	D	OXL	BL	80	4	-0.5	-0.42	1.25	1.17	10	9	2.5	2.59	27	29
7633734	G	OXL	BL	80	4	-1.75	-1.77	1.25	1.21	145	146	2.5	2.52	23	24.2
7634732	D	OXL	BL	80	4	0.75	0.79		0.05		174	2.25	2.25	28	29
7634732	G	OXL	BL	80	4	0.5	0.54		0.02		30	2.25	2.28	27	28.3
7634974	D	OXL	BL	80	4	0.25	0.18		0.05		161	2.25	2.27	25	23.7
7634974	G	OXL	BL	80	4	0.25	0.2		0.02		5	2.25	2.29	25	23.4
7635388	D	OXL	BL	80	4	0.5	0.5		0.01		7	2	1.97	24	25.1
7635388	G	OXL	BL	80	4	0.25	0.29		0.01		121	2	2.05	23	24.5
7635427	D	OXL	BL	80	4	-0.5	-0.48		0.09		164	1.75	1.66	23	24.7
7635427	G	OXL	BL	80	4	-1	-1.01	0.75	0.8	20	17	1.75	1.78	23	23.7
7637159	D	OXL	BL	80	4	-0.75	-0.7	0.75	0.72	90	89	3	3.15	23	24.5
7637159	G	OXL	BL	80	4	-0.75	-0.74	0.75	0.7	90	89	3	3.1	23	24.2
7638580	D	OXL	BL	80	4	-1.5	-1.55	1	0.96	30	28	1.5	1.52	22	23.7
7638580	G	OXL	BL	80	4	-1.25	-1.26	1.25	1.18	160	158	1.5	1.47	23	23.6
7638734	D	OXL	BL	80	4	0.75	0.71		0.08		5	1.5	1.43	25	25.9
7638734	G	OXL	BL	80	4	0.75	0.78		0		139	1.5	1.54	25	26.6
7638870	D	OXL	BL	80	4	0.25	0.26		0.08		0	2.5	2.43	25	26
7638870	G	OXL	BL	80	4	0	-0.01	0.5	0.54	180	177	2.5	2.52	28	29.1
7639223	D	OXL	BL	80	4	-4	-3.96	0.25	0.27	140	140	2.5	2.61	22	23.1
7639223	G	OXL	BL	80	4	-3.5	-3.55	0.25	0.32	55	50	2.5	2.6	22	23.8
7639374	D	OXL	BL	80	4	0.5	0.58	0.25	0.24	0	179	2.25	2.29	27	28.6
7639374	G	OXL	BL	80	4	0.25	0.17		0.02		168	2.25	2.3	24	25.3
7640181	D	OXL	BL	80	4	-0.5	-0.52	0.75	0.77	60	59	2.25	2.3	23	23.8
7640181	G	OXL	BL	80	4	-0.5	-0.45	0.5	0.51	95	97	2.25	2.23	23	24.6
7640465	D	OXL	BL	80	4	-0.25	-0.26		0.02		141	2.5	2.51	23	23.9
7640465	G	OXL	BL	80	4	-2	-2.01	0.5	0.52	180	178	2.5	2.55	22	22.7
7641081	D	OXL	BL	80	4	0.25	0.26	0.5	0.54	170	170	1.5	1.47	26	27
7641081	G	OXL	BL	80	4	0.25	0.27	1.25	1.26	180	180	1.5	1.46	37	38.4
7641236	D	OXL	BL	80	4	-2.5	-2.57	0.75	0.79	170	168	2.75	2.89	22	23
7641236	G	OXL	BL	80	4	-1.5	-1.46	1	1.01	165	165	2.75	2.84	23	25.2
7635745	D	OXL	BL	80	4	-0.75	-0.84	0.25	0.27	90	91	1.5	1.42	22	22.4
7635745	G	OXL	BL	80	4	-1	-0.92	0.5	0.5	60	58	1.5	1.48	22	23.4
7639104	D	OXL	BL	80	4	-2.75	-2.86	0.75	0.78	135	139	2.5	2.47	22	23.4
7639104	G	OXL	BL	80	4	-3.25	-3.2	0.75	0.7	110	112	2.5	2.55	22	22.5
7640370	D	OXL	BL	80	4	0.75	0.79		0.03		121	2.25	2.29	27	28.4
7640370	G	OXL	BL	80	4	0.5	0.42		0.03		171	2.25	2.27	25	25.5
7640526	D	OXL	BL	80	4	-2.5	-2.5	0.5	0.45	90	87	2	2.03	22	23
7640526	G	OXL	BL	80	4	-2.25	-2.22		0		34	2	2.1	22	24.1
7640632	D	OXL	BL	80	4	0.25	0.19	0.5	0.54	170	170	2.25	2.29	27	28
7640632	G	OXL	BL	80	4	0.25	0.26	0.5	0.53	10	8	2.25	2.34	27	27.9
7639775	D	OXL	BL	80	4	0.5	0.48		0.07		6	2.25	2.3	25	25.8
7639775	G	OXL	BL	80	4	0.75	0.71		0.1		1	2.25	2.19	27	27.3
7625081	D	OXL	BL	80	4	0.25	0.26	0.75	0.7	70	73	2.5	2.46	27	27.8
7625081	G	OXL	BL	80	4	0.5	0.46		0.02		18	2.5	2.5	25	25.6
7634001	D	OXL	BL	80	4	-2.5	-2.47	1	0.98	80	80	1.5	1.57	22	23.4
7634001	G	OXL	BL	80	4	-1	-1	0.5	0.58	130	126	1.5	1.5	22	22.8
7634344	D	OXL	BL	80	4	0.25	0.31		0.03		46	2.5	2.51	24	25.6
7634344	G	OXL	BL	80	4	-0.25	-0.22	0.5	0.46	180	180	2.5	2.54	24	24.3
7634459	D	OXL	BL	80	4	0.75	0.71		0.05		27	2.25	2.34	27	27.2
7634459	G	OXL	BL	80	4	0.75	0.71	0.25	0.26	175	174	2.25	2.24	32	33.4
7634822	D	OXL	BL	80	4	-3	-2.97	2	1.95	100	101	1.75	1.67	22	22.6
7634822	G	OXL	BL	80	4	-1.5	-1.53	1.5	1.53	85	87	1.75	1.71	22	22.7
7635971	D	OXL	BL	80	4	-0.5	-0.48	1	0.95	105	104	0.75	0.68	23	23.5
7635971	G	OXL	BL	80	4	-0.5	-0.51	0.75	0.67	90	91	0.75	0.67	22	21.4
7638033	D	OXL	BL	80	4	0	0.01	0.5	0.51	135	138	1.75	1.72	24	24.6
7638033	G	OXL	BL	80	4	0.5	0.5		0.05		177	1.75	1.73	25	26
7638224	D	OXL	BL	80	4	0.25	0.3	0.25	0.16	85	90	0.75	0.74	23	23.4
7638224	G	OXL	BL	80	4	-0.5	-0.53	0.5	0.5	125	124	0.75	0.72	22	22.7
7638724	D	OXL	BL	80	4	-0.25	-0.27	0.75	0.79	180	2	2.5	2.52	25	26
7638724	G	OXL	BL	80	4	0.25	0.24		0.05		75	2.5	2.59	24	24.7
7639052	D	OXL	T5.BRUN	78	4	-1	-1	0.5	0.46	105	106	2.75	2.79	24	25.5
7639052	G	OXL	T5.BRUN	78	4	-0.75	-0.77	1	1.05	170	170	2.75	2.76	25	26
7639442	D	OXL	BL	80	4	0	0.01		0.04		18	1.5	1.53	23	23.2
7639442	G	OXL	BL	80	4	0	0.08		0.04		103	1.5	1.51	23	24.6
7640494	D	OXL	BL	80	4	0	-0.03		0.06		26	2	1.97	23	23.4
7640494	G	OXL	BL	80	4	0.5	0.56		0.05		158	2	2.03	25	26.4
7640656	D	OXL	BL	80	4	0.75	0.74		0.05		162	2.5	2.52	32	32.9
7640656	G	OXL	BL	80	4	1	0.98		0.06		176	2.5	2.52	32	33.1
7640718	D	OXL	BL	80	4	-0.25	-0.19	0.5	0.5	180	178	2.25	2.32	24	25.8
7640718	G	OXL	BL	80	4	-0.5	-0.44	0.75	0.7	180	178	2.25	2.26	24	24.6
7640822	D	OXL	BL	80	4	-1.5	-1.4	1.5	1.49	100	100	2.75	2.8	23	24.8
7640822	G	OXL	BL	80	4	-1.5	-1.5	1.5	1.37	90	91	2.75	2.8	22	22.8
7640862	D	OXL	BL	80	4	0.75	0.71	0.5	0.51	180	1	2.25	2.24	35	35.5
7640862	G	OXL	BL	80	4	0.25	0.27	0.5	0.48	5	6	2.25	2.25	29	30.1
7641141	D	OXL	BL	80	4	-2.25	-2.2	0.5	0.52	160	160	2	2.04	22	23.1
7641141	G	OXL	BL	80	4	-2.75	-2.74		0.02		133	2	2.05	22	22.8
7638454	G	OXL	BL	80	4	0	-0.07		0.08		23	0.75	0.72	23	23.8
7639161	D	OXL	BL	80	4	0.75	0.68	0.25	0.27	155	157	2	1.99	30	30.9
7639161	G	OXL	BL	80	4	0.75	0.69		0.06		22	2	2.04	28	27.8
7639437	D	OXL	BL	80	4	-0.5	-0.48	2	1.99	5	3	3	3.03	38	38.6
7639437	G	OXL	BL	80	4	-1.25	-1.22	1	1.02	0	0	3	3.11	23	23.8
7624409	D	OXL	BL	80	4	-1.25	-1.31		0.04		177	2	1.98	22	22.4
7624409	G	OXL	BL	80	4	-0.5	-0.58		0.05		170	2	2.09	22	22
7638208	D	OXL	BL	80	4	0.5	0.49		0.07		99	2.75	2.89	26	26.9
7638208	G	OXL	BL	80	4	0.5	0.51		0.01		143	2.75	2.85	26	26.4
7639668	D	OXL	BL	80	4	-0.5	-0.52	0.75	0.82	20	16	2	1.99	23	23.4
7639668	G	OXL	BL	80	4	-1	-0.92	1	0.97	105	104	2	2.07	23	23.7
7639784	D	OXL	BL	80	4	-0.25	-0.16	0.25	0.24	145	151	1.75	1.61	23	23.5
7639784	G	OXL	BL	80	4	-0.75	-0.67	0.5	0.51	80	80	1.75	1.79	22	22.5
7641219	D	OXL	BL	80	4	0	0.05	0.75	0.8	175	174	2.5	2.64	27	27.9
7641219	G	OXL	BL	80	4	0.25	0.23	0.5	0.55	180	179	2.5	2.54	27	27.3
7626053	D	OXL	BL	80	4	0.25	0.26	0.5	0.47	110	110	2	1.95	29	29.6
7626053	G	OXL	BL	80	4	-0.25	-0.23	0.75	0.68	90	90	2	2	28	28.4
7633577	D	OXL	BL	80	4	-1.25	-1.29	0.5	0.51	75	79	3.25	3.3	22	23.2
7633577	G	OXL	BL	80	4	-0.5	-0.48	0.75	0.74	60	60	3.25	3.23	23	24.8
7634521	D	OXL	BL	80	4	0.5	0.56	0.25	0.19	170	165	2.75	2.71	28	29.7
7634521	G	OXL	BL	80	4	0	-0.01	0.75	0.76	175	175	2.75	2.82	28	29.8
7634551	D	OXL	BL	80	4	-0.5	-0.55		0.01		14	2.25	2.21	23	23.8
7634551	G	OXL	BL	80	4	-0.5	-0.42		0.01		134	2.25	2.28	23	24.5
7634884	D	OXL	BL	80	4	-0.25	-0.2	0.5	0.49	65	66	3	3.14	23	24.4
7634884	G	OXL	BL	80	4	-0.5	-0.52	0.5	0.53	35	31	3	3.11	23	24.2
7635080	D	OXL	BL	80	4	0.5	0.6	0.5	0.48	120	123	3	3.12	29	30.4
7635080	G	OXL	BL	80	4	-2	-1.99		0.02		141	3	3.13	22	23.6
7636195	D	OXL	BL	80	4	0.5	0.53	0.5	0.5	10	8	2.5	2.49	35	36.4
7636195	G	OXL	BL	80	4	0.5	0.53		0.01		5	2.5	2.54	26	27
7636207	D	OXL	BL	80	4	-0.5	-0.49	0.5	0.53	10	8	2.75	2.86	24	25.4
7636207	G	OXL	BL	80	4	-0.25	-0.2	0.25	0.33	15	10	2.75	2.85	24	26.3
7636237	D	OXL	BL	80	4	0.5	0.54	0.75	0.69	90	90	3	2.97	30	30.9
7636237	G	OXL	BL	80	4	-1.25	-1.24	1	0.98	105	104	3	3.02	23	24.1
7636727	D	OXL	BL	80	4	0	0.02		0.02		87	2.25	2.32	23	24.1
