Commande	Oeil	Type	Matiere	Diametre	Base	Sphere	Mesure.Sphere	Cylindre	Mesure.cylindre	Axe	Mesure axe	Addition	Mesure addition	Epais. centre	MesureEpais. centre
7634947	D	ORG	T5.GRIS	76	5.25	-1	-1.09		0.06		8		0	24	24.7
7634947	G	ORG	T5.GRIS	76	5.25	-0.75	-0.81		0.01		3		0	24	25.5
7629502	D	ORG	BL	75	5.5	0.5	0.44		0.02		173		0	25	25.5
7629502	G	ORG	BL	75	5.5	0.5	0.43		0.01		135		0	26	25.9
7639359	G	ORG	BL	75	5.5	1.5	1.42		0.02		164		0	36	35.7
7640196	D	ORG	BL	75	5.5	1	0.93		0.02		52		0	27	28
7628106	D	ORG	BL	75	5.5	-0.25	-0.36	1.25	1.29	90	60		0	25	26.6
7628106	G	ORG	BL	75	5.5	-0.25	-0.36	1.25	1.3	90	101		0	25	25.4
7630721	D	ORG	BL	75	5.5	0	0.04	1.5	1.51	170	16		0	26	27.2
7630721	G	ORG	BL	75	5.5	0	0.1	2.25	2.25	10	149		0	27	27.9
7637644	D	ORG	BL	75	5.5	2.25		0.5		70				29	0
7637644	G	ORG	BL	75	5.5	1	0.91	0.5	0.53	105	38		0	27	27.8
7640720	G	ORG	BL	75	5.5	0.75	0.71		0.02		102		0	25	25.8
7639266	D	ORG	BL	75	5.5	-1	-1.03	1.5	1.42	110	60		0	23	24
7639266	G	ORG	BL	75	5.5	-0.5	-0.56	0.75	0.74	75	86		0	22	22.5
7639771	G	ORG	BL	75	5.5	0.25	0.26	0.25	0.23	160	118		0	24	24.7
7635267	D	ORG	BL	75	5.5	0.5	0.42		0.07		141		0	25	25.9
7640408	D	ORG	BL	75	5.5	1.75	1.63		0.02		144		0	27	28
7640408	G	ORG	BL	75	5.5	1.75	1.67	0.25	0.25	100	129		0	28	28.6
7631717	D	ORG	BL	75	5.5	1	0.88		0.01		149		0	31	32.4
7631717	G	ORG	BL	75	5.5	1	0.92		0.02		162		0	31	30.5
7625460	D	ORG	BL	75	5.5	-0.25	-0.29	0.75	0.79	110	179		0	25	26.2
7625460	G	ORG	BL	75	5.5	-0.25	-0.29	0.75	0.78	80	86		0	25	26.3
7639311	G	ORG	BL	75	5.5	0.5	0.38		0.05		128		0	25	26.3
7624120	D	ORG	BL	75	5.5	-2.25	-2.16	2.25	2.14	105	62		0	22	22
7638842	G	ORG	BL	75	5.5	-0.25	-0.27	1.25	1.22	20	125		0	30	29.7
7624198	G	ORG	BL	75	5.5	0	-0.11		0.01		49		0	22	21.9
7634939	D	ORG	BL	75	5.5	0.25	0.12	0.25	0.26	180	169		0	24	24.8
7634939	G	ORG	BL	75	5.5	0.25	0.15	0.25	0.24	180	115		0	24	24.6
7624577	D	ORG	BL	75	5.5	-0.25	-0.34	0.25	0.25	110	103		0	23	24
7624577	G	ORG	BL	75	5.5	-0.5	-0.63	0.5	0.56	90	122		0	23	23.9
7640360	G	ORG	BL	75	5.5	-0.25	-0.32	0.25	0.31	90	34		0	23	23.5
7638541	D	ORG	BL	75	5.5	-1	-1.02	1.5	1.53	105	14		0	22	23.1
7638541	G	ORG	BL	75	5.5	-0.75	-0.78	2	2	70	149		0	27	28
7631468	D	ORG	BL	75	5.5	1.5	1.47	0.25	0.23	20	91		0	34	35.6
7631468	G	ORG	BL	75	5.5	1.5	1.43		0.02		153		0	34	34.4
7638818	D	ORG	BL	75	5.5	0.75	0.73	0.25	0.26	50	173		0	29	29.8
7638818	G	ORG	BL	75	5.5	2.5	2.48	1.25	1.21	110	111		0	43	44
7640947	D	ORG	BL	75	5.5	0.5	0.43	0.25	0.28	90	72		0	26	26.4
7640947	G	ORG	BL	75	5.5	0.25	0.13	0.25	0.27	100	9		0	25	25.7
7638168	D	ORG	BL	75	5.5	0	-0.06	0.5	0.51	45	60		0	24	24.3
7638168	G	ORG	BL	75	5.5	0	-0.07	0.75	0.75	95	135		0	27	28
7639338	D	ORG	BL	75	5.5	0	-0.08	1	1	25	69		0	25	25.7
7639338	G	ORG	BL	75	5.5	-0.75	-0.81	0.75	0.73	140	132		0	22	22.6
7626177	G	ORG	BL	75	5.5	0	0.01	1	0.99	75	108		0	28	27.4
7629749	D	ORG	BL	75	5.5	0	-0.04	0.5	0.52	110	128		0	25	25.9
7629749	G	ORG	BL	75	5.5	0	-0.1	0.5	0.52	80	7		0	25	26
7639157	G	ORG	T5.GRIS	76	6.25	0.5	0.52	1	0.97	3	143		0	29	28.3
7614312	D	ORG	T5.GRIS	76	6.25	1.75	1.64		0.01		115		0	27	28.6
7614312	G	ORG	T5.GRIS	76	6.25	1.75								27	0
7626559	D	ORG	T5.GRIS	76	6.25	0	-0.04	1.5	1.47	180	60		0	27	27.7
7626559	G	ORG	T5.GRIS	76	6.25	1.5	1.42		0.02		151		0	33	34.7
7627323	D	ORG	BL	75	6.5	3.5	3.39	1	0.98	90	72		0	36	36.3
7627323	G	ORG	BL	75	6.5	3	2.88	0.5	0.49	100	66		0	34	33.3
7637129	D	ORG	BL	75	6.5	1.5		1.5		90				31	0
7637129	G	ORG	BL	75	6.5	1.5	1.37	1.5	1.54	90	114		0	31	32.5
7638380	D	ORG	BL	75	6.5	1.25	1.15	1.25	1.28	60	21		0	28	29.9
7638380	G	ORG	BL	75	6.5	1.5	1.38	1.5	1.59	140	95		0	31	32.7
7631719	D	ORG	BL	75	6.5	3	2.9		0		142		0	37	36.4
7631719	G	ORG	BL	75	6.5	3	2.94		0.01		2		0	36	35.5
7640332	D	ORG	BL	75	6.5	2.5	2.41	0.5	0.52	170	177		0	34	33.8
7639476	D	ORG	BL	75	6.5	1	1.06	1.75	1.72	95	35		0	46	47.5
7639476	G	ORG	BL	75	6.5	1.5	1.48	1.5	1.53	80	129		0	50	50.1
7634608	D	ORG	BL	75	6.5	2.5	2.44		0		63		0	33	33.4
7634608	G	ORG	BL	75	6.5	2.5	2.4		0.03		129		0	31	32.3
7627450	D	ORG	BL	75	6.5	1.75		1		80				29	0
7627450	G	ORG	BL	75	6.5	1.25	1.19	1.25	1.29	90	30		0	28	28.1
7628263	D	ORG	BL	75	6.5	2								30	0
7628263	G	ORG	BL	75	6.5	2	1.91		0.05		7		0	29	29.4
7629629	D	ORG	BL	75	6.5	3.75	3.73		0.02		149		0	55	56.2
7629629	G	ORG	BL	75	6.5	3.75	3.75	0.5	0.5	90	127		0	61	61.9
7632417	D	ORG	BL	75	6.5	1.5	1.63	2.25	2.19	30	17		0	60	61.9
7635050	D	ORG	BL	75	6.5	2.75		1.25		180				36	0
7635050	G	ORG	BL	75	6.5	2.75	2.63	1	1.02	180	151		0	34	35.4
